a	b
poetry	thi ca; chất thơ
point	mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)
pointed	nhọn, có đầu nhọn
poison	chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
pole	người ba lan; cực (nam châm, trái đat...)
police	cảnh sát, công an
policy	chính sách
polish	nước bóng, nước láng; đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politely	lễ phép, lịch sự
political	về chính trị, về chính phủ, có tính chính trị
politically	vềmặtchínhtrị;khônngoan, thận trọng;sảoquyệt
politician	nhà chính trị, chính khách
politics	họat động chính trị, đời sống chính trị, quan điểm chính trị
pollution	sự ô nhiễm
pool	vũng nước; bể bơi, hồ bơi
poor	nghèo
pop	tiếp bốp, phong cách dân gian hiện đại; nổ bốp
popular	cótínhđạichúng,(thuộc)nhândân;đượcnhiềungười ưachuộng
population	dân cư, dân số; mật độ dân số
port	cảng
pose	đưa ra, đề ra, đặt; sự đặt, đề ra
position	vị trí, chỗ
positive	khẳngđịnh, xácthực,rõràng,tíchcực,lạcquan
possess	có, chiếm hữu
possession	quyền sở hữu, vật sở hữu
possibility	khả năng, triển vọng
possible	có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post	thư, bưu kiện; gửi thư
post office	bưu điện
pot	can, bình, lọ...
potato	khoai tây
potential	tiềm năng; khả năng, tiềm lực
potentially	tiềm năng, tiềm ẩn
pound	pao
pour	rót, đổ, giội
powder	bột, bụi
power	khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful	hùng mạnh, hùng cường
practical	thực hành; thực tế
practically	về mặt thực hành; thực tế
practice	thực hành, thực tiễn
practise	thực hành, tập luyện
praise	sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayer	sự cầu nguyện
precise	rõràng,chínhxác; tỉmỉ, kỹtính
precisely	đúng, chính xác, cần thận
predict	báo trước, tiên đoán, dự báo
prefer	thích hơn
preference	sự thích hơn, sự ưa hơn; cái đượ ưa thích hơn
pregnant	mang thai; giàu trí tưởng tượng, sáng tạo
premises	biệt thự
preparation	sự sửa soạn, sự chuẩn bị
prepare	sửa soạn, chuẩn bị
prepared	đã được chuẩn bị
presence	sự hiện diện, sự có mặt; người, vât hiện diện
present	có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
preserve	bảo quản, giữ gìn
president	hiệu trưởng, chủ tịnh, tổng thống
press	sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	sức ép, áp lực, áp suất
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretty	khá, vưaphải;xinh,xinhxắn;,đẹp
prevent	ngăn cản, ngăn chặn, ngăn ngưa
previous	vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên
previously	trước, trước đây
price	giá
pride	sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	nguyênthủy,đầutiên;thờicổ đại,nguyênsinh;sơ cấp, tiểuhọc
prime minister	thủ tướng
prince	hoàn tử
princess	công chúa
principle	cơ bản, chủ yếu; nguyên lý, nguyên tắc
print	in, xuất bản; sự in ra
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
prior	trước, ưu tiên
priority	sự ưu tế, quyền ưu tiên
prison	nhà tù
prisoner	tù nhân
private	cá nhân, riêng
privately	riêng tư, cá nhân
prize	giải, giải thưởng
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo duổi, tiếp diễn
process	quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce	sản xuất, chế tạo
producer	nhà sản xuất
product	sản phẩm
production	sự sản xuất, chế tạo
profession	nghề, nghề nghiệp
professional	(thuộc) nghề, nghề nghiệp; chuyên nghiệp
professor	giáo sư, giảng viên
profit	thuận lợi, lợi ích, lợi nhuận
program	chươngtrình;lên chươngtrình
programme	chương trình
progress	sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project	đề án, dự án, kế hoạch; dự kiến, kế hoạch
promise	hứa, lời hứa
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
prompt	mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly	mau lẹ, ngay lập tức
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng,chứngcớ,bằngchứng;sự kiểmchứng
proper	đúng, thích đáng, thích hợp
properly	một cách đúng đắn, một cách thích đáng
property	tài sản, của cải; đất đấi, nhà cửa, bất động sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuat, đưa ra
prospect	viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect	bảo vệ, che chở
protection	sự bảo vệ, sự che chở
protest	sựphảnđối, sựphảnkháng;phảnđối,phảnkháng
proud	tự hào, kiêu hãnh
proudly	một cách tự hào, một cách hãnh diện
prove	chứng tỏ, chứng minh
provide	chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided, providing	với điều kiện là, miễn là
pub, publicyhouse	quán rượu, tiệm rượu
public	chung,côngcộng;côngchúng, nhândân.inpublicgiữacôngchúng,công khai
publication	sự công bố; sự xuất bản
publicity	sựcôngkhai, sựquảngcáo
publicly	công khai, công cộng
publish	công bố, ban bố; xuất bản
publishing	công việc, nghề xuất bản
pull	lôi, kéo, giật; sự lôi kéo, sự giật
punch	đấm, thụi; quả đấm, cú thụi
punish	phạt, trưng phạt
punishment	sự trưng phạt, sự trưng trị
pupil	học sinh
purchase	sự mua, sự tậu; mua, sắm, tậu
pure	nguyên chất, tinh khiết, trong lành
purely	hoàntoàn,chỉlà
purple	tía, có màu tía; màu tía
purpose	mục đích, ý định. on purpose cố tình, cố ý, có chủ tâm
pursue	đuổi theo, đuổi bắt
push	xô đẩy; sự xô đẩy
put	đặt, để, cho vào
put sth on	mặc (áo), đội (mũ), đi (giày). put sth out tắt, dập tắt
qualification	phẩm chất, năng lực; khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiệ
quality	chất lượng, phẩm chất
quantity	lượng, số lượng
quarter	1/4, 15 phút
queen	nữ hoàng
question	câu hỏi; hỏi, chất vấn
quick	nhanh
quickly	nhanh
quiet	lặng, yên lặng, yên tĩnh
quietly	lặng, yên lặng, yên tĩnh
quit	thoát,thoátra
quite	hoàn toàn, hầu hết
quote	trích dẫn
race	loài, chủng, giống; cuộc đua; đua
racing	cuộc đua
radio	sóng vô tuyến, radio
rail	đường ray
railway	đường sắt
rain	mưa, cơn mưa; mưa
raise	nâng lên, đưa lên, ngẩng lên
range	dãy, hàng, loại; phạm vi, trình độ
rank	hàng, dãy; sắp xếp thành hàng, dãy
rapid	nhanh, nhanh chóng
rapidly	nhanh, nhanh chóng
rare	hiếm, ít
rarely	hiếm khi, ít khi
rate	tỷ lệ, tốc độ
rather	thà.. còn hơn, thích... hơn. rather: than hơn là
raw	sống (# chín), thô, còn nguyên chất
re	null
reach	đến, đi đến, tới
react	tácđộngtrởlại,phảnứng
reaction	sựphản ứng;sựphảntácdụng
read	đọc
reader	người đọc, độc giả
reading	sự đọc
ready	sẵn sàng
real	thực, thực tế, có thật
realistic	 hiện thực
reality	sự thật, thực tế, thực tại
realize	thực hiện, thực hành; thấy rõ, hiể rõ, nhận thức rõ (việc gì...)
really	thực, thực ra, thực sự
rear	phíasau;ởđằngsau,ởđằngsau
reason	lý do, lý lẽ
reasonable	có lý, hợp lý
reasonably	hợp lý
recall	gọi về, triệu hồi; nhắc lại, gợi lại
receipt	công thức; đơn thuốc
receive	nhận, lĩnh, thu
recent	gần đây, mới đây
recently	gần đây, mới đây
reception	sự nhận, sự tiếp nhận, sự đón tiế
reckon	tính, đếm
recognition	sự công nhận, sự thưa nhận
recognize	nhận ra, nhận diện; công nhận, thưa nhận
recommend	giớithiệu,tiến cử; đềnghị,khuyênbảo
record	bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
recording	sự ghi, sự thu âm
recover	lấy lại, giành lại
red	đỏ; màu đỏ
reduce	giảm, giảm bớt
reduction	sự giảm giá, sự hạ giá
refer to	xem, tham khảo; ám chỉ, nhắc đế
reference	sự tham khảo, hỏi ý kiến
reflect	phản chiếu, phản hồi, phản ánh
reform	cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refrigerator	tủ lạnh
refusal	sự từ chối, sự khước từ
refuse	từ chối, khước từ
regard	nhìn,đánhgiá; cáinhìn,sựquan tâm,sựchúý (lờichúctụngcuối thư)
regarding	về, về việc, đối với (vấn đề...)
region	vùng,miền
regional	vùng, địa phương
register	đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regret	đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regular	thường xuyên, đều đặn
regularly	đều đặn, thường xuyên
regulation	sự điều chỉnh, điều lệ, quy tắc
reject	không chấp nhận, loại bỏ, bác bỏ
relate	kể lại, thuật lại; liên hệ, liên quan
related	có liên quan, có quan hệ với ai, cái gì
relation	mốiquanhệ,sự liênquan,liênlạc
relationship	mối quan hệ, mối liên lạc
relative	có liên quấn đến; người có họ, đạ từ quan hệ
relatively	có liên quan, có quan hệ
relax	giải trí, nghỉ ngơi
relaxed	thanh thản, thoải mái
relaxing	làm giảm, bớt căng thẳng
release	làmnhẹ,bớt,thả,phóngthích,pháthành;sự giảithoát,thoátkhỏi, sự thả, phóng thích, sự phát hành
relevant	thích hợp, có liên quan
relief	sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấp; sự đền bù
religion	tôn giáo
religious	(thuộc) tôn giáo
rely on	tin vào, tin cậy, tin tưởng vào
remain	còn lại,vẫncònnhưcũ
remaining	còn lại
remains	đồ thưa, cái còn lại
remark	sựnhậnxét,phêbình,sự đểý,chúý;nhậnxét,phêbình,đểý,chúý
remarkable	đáng chú ý, đáng để ý; khác thường
remarkably	đáng chú ý, đáng để ý; khác thường
remember	nhớ, nhớ lại
remind	nhắc nhở, gợi nhớ
remote	xa, xa xôi, xa cách
removal	viêc di chuyển, việc dọn nhà, dời đi
remove	dời đi, di chuyển
rent	sự thuê mướn; cho thuê, thuê
rented	đượcthuê,đượcmướn
repair	sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeat	nhắc lại, lặp lại
repeated	được nhắc lại, được lặp lại
repeatedly	lặpđilặp lạinhiềulần
replace	thay thế
reply	sự trả lời, sự hồi âm; trả lời, hồi âm
report	báo cáo, tường trình; bản báo cáo, bản tường trình
represent	miêu tả, hình dung; đại diện, thay mặt
representative	điều tiêu biểu, tượngtrưng,mẫu;miêu tả, biểuhiện,đại diện,tượng trưng
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
require	đòi hỏi, yêu cầu, quy định
requirement	nhucầu,sự đòi hỏi;luậtlệ,thủtục
rescue	giảithoát,cứunguy;sự giảithoát,sự cứunguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	dựtrữ,đểdành,đặt trước,đăngký trước; sự dự trữ, sự đểdành,sự đặt trước, sự đăng ký trước
resident	người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resist	chống lại, phản đổi, kháng cự
resistance	sự chống lại, sự phản đối, sự kháng cự
resolve	quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khă(n).)
resort	kế sách, phương kế
resource	tàinguyên;kếsách,thủđoạn
respect	sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi. the rest vật, cái còn lại, những người, cái khác
restaurant	nhà hàng ăn, hiệu ăn
restore	hoànlại,trảlại; sửachữalại,phụchồilại
restrict	hạn chế, giới hạn
restricted	bịhạnchế,cógiớihạn;vùngcấm
restriction	sự hạn chế, sự giới hạn
result	kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retire	rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
return	trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse	đảo, ngược lại; điều trái ngược, mặt trái
review	sựxemlại, sựxétlại;làmlại,xem xétlại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	sựthưởng,phầnthưởng; thưởng, thưởngcông
rhythm	nhịp điệu
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
rid	giải thoát (get rid of : tống khứ)
ride	đi, cưỡi (ngựa); sự đi, đường đi
rider	ngườicưỡingựa, người đixeđạp
ridiculous	buồn cười, lố bịch, lố lăng
riding	mônthểthấocưỡingựa, sự đixe(bus,điện,xeđạp)
right	thẳng, phải, tốt; ngấy, đúng; điều thiện, điều phải, tốt, bên phải
rightly	đúng, phải, có lý
ring	chiếc nhẫn, đeo nhẫn cho ai
rise	sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt
risk	sự liều, mạo hiểm; liều
rival	đối thủ, địch thủ; đối địch, cạnh tranh
river	sông
road	con đường, đường phố
rob	cướp, lấy trộm
rock	đá
role	vai(diễn),vaitrò
roll	cuốn, cuộn,sựlăntròn; lăn,cuốn,quấn,cuộn
romantic	lãng mạn
roof	mái nhà, nóc
room	phòng, buồng
root	gốc, rễ
rope	dây cáp, dây thưng, xâu, chuỗi
rough	gồ ghề, lởm chởm
roughly	gồ ghề, lởm chởm
round	tròn, vòng quanh, xung quanh
rounded	bị làm thành tròn; phát triển đầy đủ
route	đường đi, lộ trình, tuyến đường
routine	thói thường, lệ thường, thủ tục; thường lệ, thông thường
row	hàng, dãy
royal	(thuộc) vua, nữ hoàng, hoàng gia
rub	cọ xát, xoa bóp, nghiền, tán
rubber	cao su
rubbish	vật vô giá trị, bỏ đi, rác rưởi
rude	bất lịch sự, thô lỗ; thô sơ, đơn giản
rudely	bất lịch sự, thô lỗ; thô sơ, đơn giản
ruin	làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản
ruined	bị hỏng, bị đổ nát, bị phá sản
rule	quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển
ruler	người cai trị, ngườitrịvì;thướckẻ
rumour	tin đồn, lời đồn
run	chạy; sự chạy
runner	người chạy
running	sự chạy, cuộc chạy đua
rural	(thuộc)nông thôn,vùngnôngthôn
rush	xônglên,laovào,xôđẩy;sựxônglên,sựlaovào,sựxôđẩy
sack	bao tải; đóng bao, bỏ vào bao
sad	buồn, buồn bã
sadly	một cách buồn bã, đáng buồn là, không may mà
sadness	sự buồn rầu, sự buồn bã
safe	an toàn, chắc chắn, đáng tin
safely	an toàn, chắc chắn, đáng tin
safety	sự an toàn, sự chắc chăn
sail	đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm
sailing	sự đi thuyền
sailor	thủy thủ
salad	salát(xàláchtrộngdầu dấm); rausống
salary	tiền lương
sale	việc bán hàng
salt	muối
salty	chứa vị muối, có muối, mặn
same	đều đều, đơn điệu; cũng như thế, vẫn cái đó
sample	mẫu,hàngmẫu
sand	cát
satisfaction	sựlàmcho thỏa mãn,toạinguyệnsựtrảnợ,bồithường
satisfied	cảm thấy hài lòng, vưa ý, thoả mãn
satisfy	làm thỏa mãn, hài lòng; trả (nợ), chuộc tội
satisfying	đem lại sự thỏa mãn, làm thỏa mãn, làm vưa ý
saturday (abbr sat)	thứ 7
sauce	nước xốt, nước chấm
save	cứu, lưu
saving	sự cứu, sự tiết kiệm
say	nói
scale	vảy (cá..), tỷ lệ
scare	làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
scared	bị hoảng sợ, bị sợ hãi
scene	cảnh, phong cảnh
schedule	kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch
scheme	sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ
school	đàn cá, bầy cá, trường học, học đường
science	khoa học, khoa học tự nhiên
scientific	(thuộc) khoa học, có tính khoa họ
scientist	nhà khoa học
scissors	cái kéo
score	điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm
scratch	cào,làmxước da; sự cào, sựtrầyxước da
scream	gào thét, kêu lên; tiếng thét, tiếng kêu to
screen	màn che, màn ảnh, màn hình; phim ảnh nói chung
screw	đinh vít, đinh ốc; bắt vít, bắt ốc
sea	biển
seal	hảicẩu;sănhảicẩu
search	sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra
season	mùa
seat	ghế, chỗ ngồi
second	thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
secondary	trung học, thứ yếu
secret	bí mật; điều bí mật
secretary	thư ký
secretly	bí mật, riêng tư
section	mục, phần
sector	khu vực, lĩnh vực
secure	chắc chắn, đảm bảo; bảo đảm, giữ an ninh
security	sự an toàn, sự an ninh
see	nhìn, nhìn thấy, quan sát
seed	hạt, hạt giống
seek	tìm, tìm kiếm, theo đuổi
seem linking	có vẻ như, dường như
select	chọn lựa, chọn lọc
selection	sự lựa chọn, sự chọc lọc
self	bản thân mình
sell	bán
senate	thượng nghi viện, ban giám hiệu
senator	thượng nghị sĩ
send	gửi, phái đi
senior	nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cấo đẳng
sense	giác quan, tri giác, cảm giác
sensible	có óc xét đoán; hiểu, nhận biết được
sensitive	dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
sentence	câu
separate	khác nhau, riêng biệt; làm rời, tác ra, chia tay
separated	ly thân
separately	không cùng nhau, thành người riêng, vật riêng
separation	sự chia cắt, phân ly, sự chia tay, l thân
september	tháng 9
series	loạt, dãy, chuỗi
serious	đứng đắn, nghiêm trang
seriously	đứng đắn, nghiêm trang
servant	người hầu, đầy tớ
serve	phục vụ, phụng sự
service	sự phục vụ, sự hầu hạ
session	buổi họp, phiên họp, buổi, phiên
set	bộ, bọn, đám, lũ; đặt để, bố trí
settle	giải quyết, dàn xếp, hòa giải, đặt, bố trí
several	vài
severe	khắt khe,gay gắt(tháiđộ, cưxử);giảndị,mộc mạc (kiểucách,trang phục, dung nhan)
severely	khắt khe,gay gắt(tháiđộ, cưxử);giảndị,mộc mạc (kiểucách,trang phục, dung nhan)
sew	may, khâu
sewing	sự khâu, sự may vá
sex	giới, giống
sexual	giới tính, các vấn đề sinh lý
sexually	giới tính, các vấn đề sinh lý
shade	bóng, bóng tối
shadow	bóng, bóng tối, bóng râm, bóng mát
shake	rung, lắc, giũ; sự rung, sự lắc, sự giũ
shall	dự đoán tương lai: sẽ
shallow	nông, cạn
shame	sựxấu hổ, thẹnthùng,sựngượng
shape	hình, hình dạng, hình thù
shaped	có hình dáng được chỉ rõ
share	đónggóp,thamgia, chia sẻ;phần đónggóp,phầnthamgia,phần chia sẻ
sharp	sắc, nhọn, bén
sharply	sắc, nhọn, bén
shave	cạo (râu), bào, đẽo (gỗ)
she	nó, bà ấy, chị ấy, cô ấy...
sheep	con cừu
sheet	chăn, khăn trải giường; lá, tấm, phiến, tờ
shelf	kệ, ngăn, giá
shell	vỏ, mai; vẻ bề ngoài
shelter	sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
shift	đổichỗ,dờichỗ,chuyển,giao; sựthấyđổi, sựluânphiên
shine	chiếu sáng, tỏa sáng
shiny	sáng chói, bóng
ship	tàu, tàu thủy
shirt	áo sơ mi
shock	sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc
shocked	bị kích động, bị va chạm, bị sốc
shocking	gây ra căm phẫn, tồi tệ, gây kích động
shoe	giày
shoot	vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shooting	sự bắn, sự phóng đi
shop	cửa hàng; đi mua hàng, đi chợ
shopping	sự mua sắm
short	ngắn, cụt
shortly	trong thời gian ngắn, sớm
shot	đạn, viên đạn
should	nên
shoulder	vai
shout	hò hét, reo hò; sự la hét, sự hò reo
show	biểu diễn, trưng bày; sự biểu diễn sự bày tỏ
shower	vòi hoa sen, sự tắm vòi hoa sen
shut	đóng, khép,đậy;tínhkhépkín
shy	nhút nhát, e thẹn
sick	ốm, đau, bệnh
side	mặt, mặt phẳng
sideways	ngang, từ một bên; sang bên
sight	cảnh đẹp; sự nhìn
sign	dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
signal	dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signature	 chữ ký
significant	nhiều ý nghĩa, quan trọng
significantly	đáng kể
silence	sự im lặng, sự yên tĩnh
silent	im lặng, yên tĩnh
silk	tơ, chỉ, lụa
silly	ngớ ngẩn, ngu ngốc, khờ dại
silver	bạc, đồng bạc; làm bằng bạc, trắng như bạc
similar	giống như, tương tự như
similarly	tương tự, giống nhau
simple	đơn, đơn giản, dễ dàng
simply	một cách dễ dàng, giản dị
since	từ, từ khi, từ lúc đó; từ đó, từ lúc ấy
sincere	thật thà, thẳng thắng, chân thành
sincerely	một cách chân thành
sing	hát, ca hát
singer	ca sĩ
singing	sự hát, tiếng hát
single	đơn, đơn độc, đơn lẻ
sink	chìm, lún, đắm
sir	xưng hô lịch sự ngài, ông
sister	chị, em gái
sit	ngồi. sit down: ngồi xuống
situation	hoàn cảnh, địa thế, vị trí
size	cỡ. đã được định cỡ
skilful	tài giỏi, khéo tay
skilfully	tài giỏi, khéo tay
skill	kỹ năng, kỹ sảo
skilled	có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
skin	da, vỏ
skirt	váy, đầm
sky	trời, bầu trời
sleep	ngủ; giấc ngủ
sleeve	tay áo, ống tay
slice	miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide	trượtc,chuyểnđộngnhẹ,lướtqua
slight	mỏng manh, thon, gầy
slightly	mảnh khảnh, mỏng manh, yếu ớt
slip	trượt, tuột, trôi qua, chạy qua
slope	dốc, đường dốc, độ dốc; nghiêng, dốc
slow	chậm, chậm chạp
slowly	một cách chậm chạp, chậm dần
small	nhỏ, bé
smart	mạnh,ác liệt,khéoléo,khônkhéo
smash	đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
smell	ngửi; sự ngửi, khứu giác
smile	cười, mỉm cười; nụ cười, vẻ tươi cười
smoke	khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking	sự hút thuốc
smooth	nhẵn, trơn, mượt mà
smoothly	một cách êm ả, trôi chảy
snake	con rắn; người nham hiểm, xảo tr
snow	tuyết; tuyết rơi
so	như vậy, như thế; vì thế, vì vậy, vì thế cho nên so thất để, để cho, để mà
soap	xà phòng
social	có tính xã hội
socially	có tính xã hội
society	xã hội
sock	tất ngắn, miếng lót giày
soft	mềm, dẻo
softly	một cách mềm dẻo
software	phần mềm (m.tính)
soil	đất trồng; vết bẩn
soldier	lính, quân nhân
solid	rắn; thể rắn, chất rắn
solution	sự giải quyết, giải pháp
solve	giải, giải thích, giải quyết
some	một it, một vài
somebody, someone	người nào đó
somehow	không biết làm sao, bằng cách này hay cách khác
something	một điều gì đó, mộtviệcgì đó,mộcái gìđó
sometimes	thỉnh thoảng, đôi khi
somewhat	đến mức độnàođó, hơi, mộtchút
somewhere	nơi nào đó. đâu đó
son	con trai
song	bài hát
soon	sớm, chẳng bao lâu nữa. as soon as ngay khi
sore	đau, nhức
sorry	xinlỗi,lấy làmtiếc,lấy làmbuồn
sort	thứ, hạng loại; lựa chọn, sắp xếp, phân loại
soul	tâm hồn, tâm trí, linh hồn
sound	âmthanh;nghe
soup	xúp, canh, cháo
sour	chua, có vị giấm
source	nguồn
south	phươngnam, hướng nam;ởphíanam; hướngvềphíanam
southern	thuộc phương nam
space	khoảng trống, khoảngcách,khônggian
spare	thưa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speak	nói
speaker	người nói, người diễn thuyết
special	đặc biệt, riêng biệt
specialist	chuyên gia, chuyên viên
specially	đặc biệt, riêng biệt
specific	đặc trưng, riêng biệt
specifically	đặc trưng, riêng biệt
speech	sự nói, khả năng nói, lời nói, cách nói, bài nói
speed	tốc độ, vận tốc
spell	đánhvần;sựthuhút,sựquyếnrũsaymê
spelling	sự viết chính tả
spend	tiêu, xài
spice	gia vị
spicy	có gia vị
spider	con nhện
spin	quay, quay tròn
spirit	tinh thần, tâm hồn, linh hồn
spiritual	(thuộc) tinh thần, linh hồn
spite	sự giận, sự hận thù; in spite of: mặc dù, bất chấp
split	chẻ, tách,chia ra; sựchẻ,sự tách sự chiara
spoil	cướp, cướp đọat
spoken	nói theo1 cáchnàođó
spoon	cái thìa
sport	thể thao
spot	dấu, đốm, vết
spray	máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
spread	trải, căng ra, bày ra; truyền bá
spring	mùa xuân
square	vuông, vuông vắn; dạng hình vuông, hình vuông
squeeze	ép,vắt,xiết;sự ép, sựvắt,sựxiết
stable	ổn định, bình tĩnh, vững vàng; chuồng ngựa
staff	gậy
stage	tầng, bệ, sân khấu, giai đoạn
stair	bậc thang
stamp	tem; dán tem
stand	đứng, sự đứng. stand up: đứng đậy
standard	tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
star	ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
stare	nhìm chằm chằm; sự nhìn chằm chằm
start	bắt đầu, khởi động; sự bắt đầu, s khởi đầu, khởi hành
state	nhànước,quốcgia,chính quyền;(thuộc)nhànước, có liênquanđếnnhà nước;phátbiểu,tuyênbố
statement	sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
station	trạm, điểm, đồn
statue	tượng
status	tình trạng
stay	ở lại, lưu lại; sự ở lại, sự lưu lại
steadily	vững chắc, vững vàng, kiên định
steady	vững chắc, vững vàng, kiến định
steal	ăn cắp, ăn trộm
steam	hơi nước
steel	thép, ngành thép
steep	dốc, dốc đứng
steeply	dốc, cheo leo
steer	lái (tàu, ô tô...)
step	bước; bước, bước đi
stick	đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
stick out, stick for	đòi, đạt được cái gì
sticky	dính; sánh; bầy nhầy, nhớp nháp
stiff	cứng, cứng rắn, kiên quyết
stiffly	cứng, cứng rắn, kiên quyết
still	đứng yên; vẫn, vẫn còn
sting	châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích..
stir	khuấy,đảo
stock	kho sự trữ, hàng dự trữ, vốn
stomach	dạ dày
stone	đá
stop	dừng,ngưng,nghỉ,thôi;sự dừng, sựngưng,sự đỗlại
store	cửa hàng, kho hàng; tích trữ, cho vào kho
storm	cơn giông, b~o
story	chuyện, câu chuyện
stove	bếp lò, lò sưởi
straight	thẳng, không cong
strain	sự căng thẳng, sự căng
strange	xa lạ, chưa quen
strangely	lạ, xa lạ, chưa quen
stranger	người lạ
strategy	chiến lược
stream	dòng suối
strength	sức mạnh, sức khỏe
